year,bus_indicator,value
2006,DN se mo rong SXKD,75
2007,DN se mo rong SXKD,72
2008,DN se mo rong SXKD,71
2009,DN se mo rong SXKD,60
2010,DN se mo rong SXKD,62
2011,DN se mo rong SXKD,47
2012,DN se mo rong SXKD,34
2013,DN se mo rong SXKD,32
2014,DN se mo rong SXKD,46
2015,DN se mo rong SXKD,49
2016,DN se mo rong SXKD,58
2017,DN se mo rong SXKD,52
2006,Dong gop cua TN vao GDP,115
2007,Dong gop cua TN vao GDP,116
2008,Dong gop cua TN vao GDP,111
2009,Dong gop cua TN vao GDP,109
2010,Dong gop cua TN vao GDP,108
2011,Dong gop cua TN vao GDP,108
2012,Dong gop cua TN vao GDP,108
2013,Dong gop cua TN vao GDP,106
2014,Dong gop cua TN vao GDP,107
2015,Dong gop cua TN vao GDP,108
2016,Dong gop cua TN vao GDP,111
