"rtsurvey.dates","rtsurvey.builds"
2017-06-08,"2.7.82"
2017-06-01,"2.7.81"
2017-05-25,"2.7.80"
2017-05-22,"2.7.79"
2017-05-18,"2.7.78"
2017-05-11,"2.7.77"
2017-05-04,"2.7.76"
2017-04-28,"2.7.75"
2017-04-21,"2.6.74"
2017-04-20,"2.6.73"
2017-04-13,"2.6.72"
2017-04-07,"2.6.71"
2017-03-30,"2.6.70"
2017-03-23,"2.5.69"
2017-03-16,"2.5.68"
2017-03-09,"2.4.67"
2017-03-07,"2.4.66"
2017-03-03,"2.4.65"
2017-03-02,"2.4.64"
2017-02-23,"2.4.63"
2017-02-16,"2.4.62"
2017-02-09,"2.4.61"
2017-02-03,"2.4.60"
2017-02-03,"2.4.59"
2017-01-25,"2.4.58"
2017-01-20,"2.4.57"
2017-01-18,"2.4.56"
2017-01-12,"2.4.55"
2017-01-05,"2.4.54"
2016-12-29,"2.4.53"
2016-12-26,"2.4.52"
2016-12-22,"2.4.51"
2016-12-16,"2.4.50"
2016-12-16,"2.4.49"
2016-12-15,"2.4.48"
2016-12-08,"2.4.47"
2016-12-05,"2.4.46"
2016-12-01,"2.4.45"
2016-11-24,"2.4.44"
2016-11-17,"2.4.43"
2016-11-10,"2.4.42"
2016-11-03,"2.4.41"
2016-10-27,"2.4.40"
2016-10-20,"2.4.39"
2016-10-17,"2.4.38"
2016-10-15,"2.4.37"
2016-10-15,"2.4.36"
2016-10-11,"2.4.35"
2016-10-05,"2.4.34"
2016-09-29,"2.4.33"
2016-09-22,"2.4.32"
2016-09-13,"2.4.31"
2016-09-07,"2.4.30"
2016-08-31,"2.4.29"
2016-08-31,"2.4.28"
2016-08-11,"2.3.27"
2016-08-09,"2.3.26"
2016-07-29,"2.2.25"
2016-07-28,"2.2.24"
2016-07-27,"2.2.23"
2016-07-22,"2.1.22"
2016-07-21,"2.1.21"
2016-07-21,"2.1.20"
2016-07-19,"2.1.19"
2016-07-19,"2.1.18"
2016-07-12,"2.1.17"
2016-07-11,"2.1.16"
2016-07-05,"2.1.15"
2016-06-29,"2.1.14"
2016-06-28,"2.1.13"
2016-06-24,"2.1.12"
2016-06-23,"2.1.11"
2016-06-20,"2.1.10"
2016-06-16,"2.1.9"
2016-06-13,"2.1.8"
2016-06-07,"2.1.7"
2016-06-02,"2.1.6"
2016-05-30,"2.1.5"
