"dates","builds"
2017-06-08,"2.3.114"
2017-06-01,"2.3.113"
2017-05-25,"2.3.112"
2017-05-22,"2.3.111"
2017-05-18,"2.3.110"
2017-05-11,"2.3.109"
2017-05-04,"2.3.108"
2017-04-28,"2.3.107"
2017-04-21,"2.2.106"
2017-04-20,"2.2.105"
2017-04-13,"2.2.104"
2017-04-07,"2.2.103"
2017-03-30,"2.2.102"
2017-03-23,"2.1.101"
2017-03-16,"2.1.100"
2017-03-09,"2.0.99"
2017-03-06,"2.0.98"
2017-03-03,"2.0.97"
2017-03-02,"2.0.96"
2017-02-23,"2.0.95"
2017-02-16,"2.0.94"
2017-02-09,"2.0.93"
2017-02-03,"2.0.92"
2017-02-03,"2.0.91"
2017-01-25,"2.0.90"
2017-01-20,"2.0.89"
2017-01-18,"2.0.88"
2017-01-12,"2.0.87"
2017-01-05,"2.0.86"
2016-12-29,"2.0.85"
2016-12-26,"2.0.84"
2016-12-22,"2.0.83"
2016-12-16,"2.0.82"
2016-12-16,"2.0.81"
2016-12-15,"2.0.80"
2016-12-08,"2.0.79"
2016-12-05,"2.0.78"
2016-12-01,"2.0.77"
2016-11-24,"2.0.76"
2016-11-17,"2.0.75"
2016-11-10,"2.0.74"
2016-11-03,"2.0.73"
2016-10-27,"2.0.72"
2016-10-20,"2.0.71"
2016-10-17,"2.0.70"
2016-10-15,"2.0.69"
2016-10-14,"2.0.68"
2016-10-11,"2.0.67"
2016-10-05,"2.0.66"
2016-09-29,"2.0.65"
2016-09-22,"1.2.64"
2016-09-13,"1.1.63"
2016-09-07,"1.1.62"
2016-08-31,"1.1.61"
2016-08-31,"1.1.60"
2016-08-11,"1.0.59"
2016-08-09,"1.0.58"
2016-07-13,"0.3.57"
2016-07-11,"0.3.56"
2016-06-19,"0.3.55"
2016-06-17,"0.3.54"
2016-05-27,"0.3.53"
2016-05-24,"0.3.52"
2016-05-14,"0.3.51"
2016-04-25,"0.3.48"
2016-04-13,"0.3.47"
2016-04-08,"0.3.46"
2016-04-06,"0.3.45"
2016-03-31,"0.3.44"
2016-03-25,"0.3.43"
2016-03-21,"0.3.42"
2016-03-17,"0.3.41"
2016-03-14,"0.3.40"
2016-03-09,"0.2.39"
2016-03-08,"0.2.38"
2016-03-04,"0.2.37"
2016-03-02,"0.2.36"
2016-02-24,"0.2.35"
2016-02-04,"0.2.34"
2016-01-29,"0.2.33"
2016-01-29,"0.2.32"
2016-01-25,"0.2.31"
2016-01-22,"0.2.30"
2016-01-20,"0.2.29"
2016-01-14,"0.2.28"
2016-01-14,"0.2.27"
2016-01-11,"0.2.26"
2016-01-08,"0.2.25"
2016-01-06,"0.2.24"
2015-12-30,"0.2.23"
2015-12-29,"0.2.22"
2015-12-28,"0.2.19"
2015-12-23,"0.2.18"
2015-12-23,"0.2.17"
2015-12-18,"0.2.16"
2015-12-17,"0.2.14"
2015-12-15,"0.1.13"
2015-12-14,"0.1.12"
2015-12-11,"0.1.11"
2015-12-10,"0.1.8"
2015-12-08,"0.1.7"
2015-12-08,"0.1.6"
